pid,tid,event_type,start_time,end_time,mark_id,message,domain,rid,name,type,=recvTokenSize,=QueueSize,queue,from,to,action,LogicalBlockNum,=deviceKvCache,+WAITING,+RUNNING,+PENDING,+END,=replyTokenSize,rid_list,token_id_list,batch_size,batch_type,during_time,metrics
253317,254643,start/end,1727940490948460.0,1727940490948476.2,440,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 6}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[6],1.0,Decode,16.25,
253317,254643,start/end,1727940490968246.2,1727940490968246.8,445,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940490968269.2,1727940490968402.2,447,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 7}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[7],1.0,Decode,133.0,
253317,254645,start/end,1727940490968310.2,1727940490968311.0,448,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940490968434.8,1727940490968449.8,452,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 7}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[7],1.0,Decode,15.0,
253317,254643,start/end,1727940490988253.8,1727940490988254.5,457,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.75,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940490988281.5,1727940490988367.2,459,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 8}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[8],1.0,Decode,85.75,
253317,254645,start/end,1727940490988326.0,1727940490988326.8,460,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940490988417.2,1727940490988434.0,464,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 8}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[8],1.0,Decode,16.75,
253317,254643,start/end,1727940491008193.8,1727940491008194.2,469,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491008257.5,1727940491008345.5,471,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 9}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[9],1.0,Decode,88.0,
253317,254645,start/end,1727940491008304.2,1727940491008305.0,472,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491008381.2,1727940491008399.5,476,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 9}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[9],1.0,Decode,18.25,
253317,254643,start/end,1727940491028102.2,1727940491028102.8,481,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491028126.8,1727940491028211.8,483,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 10}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[10],1.0,Decode,85.0,
253317,254645,start/end,1727940491028170.8,1727940491028171.5,484,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491028276.8,1727940491028292.0,488,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 10}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[10],1.0,Decode,15.25,
253317,254643,start/end,1727940491048060.8,1727940491048061.2,493,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491048084.8,1727940491048177.8,495,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 11}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[11],1.0,Decode,93.0,
253317,254645,start/end,1727940491048135.8,1727940491048136.8,496,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,1.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491048210.5,1727940491048226.0,500,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 11}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[11],1.0,Decode,15.5,
253317,254643,start/end,1727940491067973.8,1727940491067974.2,505,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491067998.0,1727940491068110.2,507,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 12}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[12],1.0,Decode,112.25,
253317,254645,start/end,1727940491068071.0,1727940491068071.5,508,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
253317,254643,start/end,1727940491068143.2,1727940491068158.8,512,"{'name': 'modelExec', 'type': 2, 'rid': [{'rid': 0, 'iter': 12}]}",,0,modelExec,2.0,,,,,,,,,,,,,,[0],[12],1.0,Decode,15.5,
253317,254643,start/end,1727940491087862.0,1727940491087862.5,517,"{'rid': 0, '+RUNNING': -1, '+PENDING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,-1.0,1.0,,,,,,,0.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
253317,254645,start/end,1727940491087887.2,1727940491087965.8,519,"{'name': 'BatchSchedule', 'type': 2, 'rid': [{'rid': 0, 'iter': 13}]}",,0,BatchSchedule,2.0,,,,,,,,,,,,,,[0],[13],1.0,Decode,78.5,
253317,254645,start/end,1727940491087927.0,1727940491087927.8,520,"{'rid': 0, '+PENDING': -1, '+RUNNING': 1, 'name': 'ReqState', 'type': 0}",,0.0,ReqState,0.0,,,,,,,,,,1.0,-1.0,,,,,,,0.75,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
