time,metrics
1727940492278121.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492278196.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492298077.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492298155.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492318045.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492318137.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492342921.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492343045.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492370916.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492371020.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492391360.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492391437.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492411430.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492411550.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492431389.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492431471.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492451381.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492451475.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492471418.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492471497.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492491495.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492491585.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492511488.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492511615.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492531446.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492531527.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492551459.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492551539.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492572229.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492572350.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492592325.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492592407.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492612491.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492612572.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492632630.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492632729.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492652798.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492652915.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492673073.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492673203.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492693115.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492693189.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492713203.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492713283.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492733297.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492733370.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492753367.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492753454.8,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492773457.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492773525.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492793515.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492793589.0,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492813580.8,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492813659.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492833719.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492833845.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492860650.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492860759.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492881067.5,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492881134.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492901181.0,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492901300.2,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
1727940492921286.2,"{'+RUNNING': -1.0, '+PENDING': 1.0}"
1727940492921360.5,"{'+RUNNING': 1.0, '+PENDING': -1.0}"
